time,open,high,low,close
1779701700,25227.67,25234.33,25222.92,25232.47
1779702000,25232.24,25237.26,25228.78,25230.49
1779702300,25230.28,25239.48,25226.98,25238.79
1779702600,25239.39,25243.78,25238.93,25239.06
1779702900,25238.79,25240.95,25231.52,25231.52
1779703200,25231.38,25231.38,25222.23,25230.38
1779703500,25230.29,25242.32,25229.51,25240.09
1779703800,25240.04,25249.76,25237.55,25242.13
1779704100,25242.02,25267.42,25242.02,25263.24
1779704400,25263.06,25263.06,25253.27,25254.89
1779704700,25255.27,25255.27,25245.88,25245.94
1779705000,25245.75,25246.2,25238.37,25240.08
1779705300,25240.0,25254.83,25240.0,25254.83
1779705600,25254.63,25262.45,25254.63,25260.93
1779705900,25260.39,25260.77,25250.33,25251.77
1779706200,25251.72,25256.02,25249.81,25254.45
1779706500,25254.29,25257.55,25247.7,25248.37
1779706800,25248.53,25253.91,25239.77,25239.98
1779707100,25239.88,25239.88,25224.64,25225.06
1779707400,25224.99,25231.7,25222.45,25231.7
1779707700,25231.49,25248.38,25231.17,25246.7
1779708000,25246.51,25252.72,25245.81,25252.72
1779708300,25252.91,25254.4,25246.49,25248.94
1779708600,25249.17,25269.57,25248.22,25261.3
1779708900,25261.4,25264.48,25257.1,25262.69
1779709200,25262.91,25270.27,25262.75,25268.44
1779709500,25268.25,25292.34,25268.25,25274.67
1779709800,25274.72,25278.65,25265.15,25266.21
1779710100,25266.11,25268.27,25261.21,25267.69
1779710400,25267.85,25267.85,25260.25,25261.91
1779710700,25261.48,25277.32,25261.14,25277.2
1779711000,25277.5,25282.69,25274.94,25277.51
1779711300,25277.41,25280.3,25273.89,25273.99
1779711600,25274.1,25322.79,25272.76,25288.64
1779711900,25292.04,25294.24,25278.0,25278.36
1779712200,25279.65,25282.93,25277.24,25281.31
1779712500,25281.55,25301.83,25281.51,25281.95
1779712800,25281.72,25290.39,25277.17,25290.19
1779713100,25290.17,25293.73,25270.84,25293.25
1779713400,25293.28,25296.85,25290.14,25294.9
1779713700,25295.09,25295.09,25274.14,25274.17
1779714000,25274.11,25275.31,25264.31,25266.64
1779714300,25268.26,25279.07,25267.72,25275.11
1779714600,25275.25,25278.64,25273.66,25276.32
1779714900,25276.05,25276.25,25260.87,25268.75
1779715200,25268.74,25274.16,25266.06,25274.16
1779715500,25273.95,25277.35,25273.15,25276.77
1779715800,25277.55,25287.36,25277.0,25283.53
1779716100,25283.43,25297.28,25283.43,25297.28
1779716400,25297.86,25303.03,25293.68,25302.36
1779716700,25302.06,25305.62,25292.84,25305.07
1779717000,25306.03,25323.24,25305.51,25323.24
1779717300,25323.19,25331.4,25320.51,25320.75
1779717600,25320.28,25335.81,25315.81,25334.77
1779717900,25328.69,25331.92,25323.08,25331.13
1779718200,25331.61,25331.61,25315.37,25315.37
1779718500,25315.64,25329.05,25314.72,25328.75
1779718800,25331.79,25353.32,25331.79,25352.72
1779719100,25354.31,25372.62,25354.22,25371.16
1779719400,25372.02,25374.14,25366.53,25368.25
1779719700,25367.74,25372.47,25353.89,25355.07
1779720000,25354.96,25357.98,25347.31,25351.51
1779720300,25351.44,25365.28,25345.36,25358.71
1779720600,25358.53,25372.87,25351.04,25368.24
1779720900,25368.03,25376.82,25357.1,25363.06
1779721200,25363.51,25366.47,25350.35,25355.75
1779721500,25355.65,25355.65,25344.36,25349.83
1779721800,25350.11,25438.41,25350.07,25406.79
1779722100,25406.51,25412.88,25400.01,25412.88
1779722400,25413.07,25419.64,25390.53,25390.53
1779722700,25390.67,25415.1,25384.44,25394.47
1779778800,25359.75,25361.64,25307.05,25307.05
1779779100,25304.88,25343.5,25299.06,25319.85
1779779400,25319.31,25343.98,25315.95,25341.8
1779779700,25341.97,25343.59,25294.53,25303.87
1779780000,25304.78,25330.28,25294.59,25329.17
1779780300,25329.71,25329.73,25292.51,25292.51
1779780600,25293.34,25293.34,25247.93,25263.85
1779780900,25264.45,25271.74,25256.35,25271.62
1779781200,25271.33,25283.51,25261.15,25273.43
1779781500,25274.32,25308.69,25273.48,25306.18
1779781800,25307.32,25307.32,25252.4,25252.4
1779782100,25252.21,25274.33,25249.81,25272.06
1779782400,25273.29,25281.67,25255.92,25263.21
1779782700,25264.29,25264.44,25221.34,25223.16
1779783000,25223.14,25245.45,25214.51,25215.66
1779783300,25215.48,25237.88,25212.06,25230.73
1779783600,25231.24,25242.17,25221.8,25236.33
1779783900,25236.74,25238.77,25219.67,25220.5
1779784200,25220.37,25220.37,25199.75,25203.59
1779784500,25203.38,25215.31,25193.41,25203.3
1779784800,25201.68,25217.34,25194.98,25216.88
1779785100,25218.03,25218.03,25189.49,25190.46
1779785400,25189.52,25202.33,25186.3,25198.2
1779785700,25198.39,25199.94,25187.87,25190.42
1779786000,25190.28,25207.77,25180.5,25207.77
1779786300,25208.22,25214.38,25188.33,25197.39
1779786600,25197.99,25198.27,25191.23,25193.06
1779786900,25192.54,25218.05,25184.99,25211.07
1779787200,25210.83,25220.66,25200.15,25202.62
1779787500,25203.69,25230.42,25201.37,25230.18
1779787800,25230.56,25241.33,25226.09,25226.24
1779788100,25226.25,25227.9,25212.26,25213.48
1779788400,25213.95,25219.56,25209.05,25210.1
1779788700,25209.21,25214.36,25205.65,25214.36
1779789000,25214.5,25214.5,25202.1,25210.26
1779789300,25210.18,25218.27,25210.06,25215.68
1779789600,25215.77,25215.97,25196.46,25201.99
1779789900,25203.21,25220.33,25201.94,25220.16
1779790200,25219.13,25249.22,25219.13,25246.06
1779790500,25246.33,25250.3,25233.7,25250.3
1779790800,25249.9,25255.11,25242.68,25253.08
1779791100,25252.92,25285.21,25250.77,25270.39
1779791400,25270.2,25289.04,25270.18,25288.32
1779791700,25288.46,25297.5,25276.69,25276.99
1779792000,25276.85,25286.82,25247.8,25256.26
1779792300,25256.39,25256.66,25243.18,25255.44
1779792600,25255.5,25268.64,25254.73,25267.35
1779792900,25267.49,25276.79,25267.49,25275.36
1779793200,25276.1,25279.38,25272.87,25277.97
1779793500,25277.59,25278.43,25270.52,25276.53
1779793800,25276.86,25277.34,25273.06,25273.06
1779794100,25272.63,25273.83,25255.54,25258.12
1779794400,25258.2,25272.16,25256.38,25270.61
1779794700,25270.53,25272.11,25251.16,25252.68
1779795000,25252.59,25253.34,25231.74,25234.87
1779795300,25234.93,25239.13,25216.48,25239.13
1779795600,25239.17,25256.11,25236.86,25255.5
1779795900,25255.16,25267.36,25254.05,25262.98
1779796200,25262.15,25275.12,25261.54,25265.25
1779796500,25265.36,25269.55,25257.54,25258.65
1779796800,25258.94,25262.06,25255.82,25261.09
1779797100,25261.49,25271.43,25230.5,25262.88
1779797400,25262.69,25273.29,25256.86,25269.38
1779797700,25270.06,25280.34,25265.34,25278.99
1779798000,25279.41,25282.15,25269.93,25275.6
1779798300,25275.66,25279.23,25272.45,25276.75
1779798600,25277.28,25277.58,25262.61,25262.61
1779798900,25263.13,25274.9,25261.53,25274.41
1779799200,25274.11,25280.17,25262.5,25262.5
